0, 45.5504950000, 45.5234090000, -73.4910190000, -73.5239170000
1, 45.5936460000, 45.5590355900, -73.5773614300, -73.6317272400
2, 45.5299450000, 45.5014580000, -73.5651550000, -73.5891030000
3, 45.5386883000, 45.5050525100, -73.5682811000, -73.6061818000
4, 45.6170810000, 45.6112690000, -73.5879740000, -73.6253060000
5, 45.5207974000, 45.5166615000, -73.5758162000, -73.5816301000
6, 45.4989820000, 45.4533770000, -73.5561150000, -73.5765500000
7, 45.5815990000, 45.5684690000, -73.5341020000, -73.5757300000
8, 45.5582179200, 45.5514450600, -73.5289945200, -73.5381394200
9, 45.4755600000, 45.4499400000, -73.5347650000, -73.6100660000
10, 45.5196967000, 45.5039832000, -73.5945485000, -73.6180659000
11, 45.5234268000, 45.5144081000, -73.5512570000, -73.5649666000
12, 45.5529843000, 45.5220970108, -73.5440170000, -73.5900359490
13, 45.5323174782, 45.5220950629, -73.5647379636, -73.5907043263
14, 45.5128690000, 45.4945080000, -73.6891810000, -73.7161940000
15, 45.5654942100, 45.5514683000, -73.6476953000, -73.6554966100
16, 45.5751950000, 45.5268420000, -73.5476750000, -73.5894270000
17, 45.5353359000, 45.5326597600, -73.5654497000, -73.5747737000
18, 45.5904670000, 45.5438700000, -73.5903530000, -73.6296060000
19, 45.5037160000, 45.4955100000, -73.5732311000, -73.5893700000
20, 45.5143470000, 45.5103950000, -73.5618050000, -73.5653190000
21, 45.5053226000, 45.4947667000, -73.5652169000, -73.6258702000
22, 45.5141290000, 45.4601410000, -73.6834800000, -73.8375750000
23, 45.5492280000, 45.5448750000, -73.5704150000, -73.5727160000
24, 45.5435470000, 45.5046100000, -73.6172220000, -73.6645320000
25, 45.6041580000, 45.4965870000, -73.5235900000, -73.5685700000
26, 45.5952650000, 45.5564610000, -73.6724920000, -73.7201540000
27, 45.5059640000, 45.4966990000, -73.5587720000, -73.5647950000
28, 45.5498630000, 45.5277940000, -73.5907810000, -73.6052290000
29, 45.5194800000, 45.4522340000, -73.6383800000, -73.7432020000
30, 45.5319697000, 45.5286550000, -73.6229185000, -73.6314443000
31, 45.5479035000, 45.5460838000, -73.5366899000, -73.5431725000
32, 45.5354630000, 45.4998930000, -73.5613040000, -73.5989010000
33, 45.5439340000, 45.5329730000, -73.5774580000, -73.6089610000
34, 45.5413010000, 45.5320460000, -73.6113460000, -73.6194010000
35, 45.5344492405, 45.5209675011, -73.5650298130, -73.5789717050
36, 45.5507640000, 45.5478820000, -73.5301510000, -73.5410860000
37, 45.5541740000, 45.5424640000, -73.6072540000, -73.6310030000
38, 45.5492528600, 45.5283912500, -73.6644977400, -73.6838660000
39, 45.4758627504, 45.4305489305, -73.6127902819, -73.7201347152
40, 45.5242460000, 45.5204790000, -73.6063070000, -73.6119210000
41, 45.5493504900, 45.4996942000, -73.5719017000, -73.6676285200
42, 45.5007460000, 45.4979860000, -73.5553280000, -73.5599000000
43, 45.4569830000, 45.4555416000, -73.5637067100, -73.5650222000
44, 45.5412590000, 45.5349175000, -73.5822437000, -73.5876723000
45, 45.5496910000, 45.5429110000, -73.5641100000, -73.5677860000
46, 45.5610010000, 45.5098630000, -73.5518980000, -73.5758440000
47, 45.5047413000, 45.4506538000, -73.5715689000, -73.5986571400
48, 45.5145855000, 45.4976426000, -73.5618190000, -73.5777622461
49, 45.6422250000, 45.6023910000, -73.4971780000, -73.5662720000
50, 45.5367280000, 45.5303410000, -73.6026260000, -73.6091640000
51, 45.5419890100, 45.4486821900, -73.6294998500, -73.7520620000
52, 45.5505770000, 45.4970580000, -73.5503010000, -73.5773400000
53, 45.4967940000, 45.4848490000, -73.5521840000, -73.5623570000
54, 45.5609460000, 45.5292460000, -73.5779300000, -73.6646370000
55, 45.5657341400, 45.5510878000, -73.6474640800, -73.6576547000
56, 45.5222190000, 45.4599580000, -73.5384580000, -73.6023440000
57, 45.5377419500, 45.5300834800, -73.6617157500, -73.7049597000
58, 45.5124930000, 45.4605370000, -73.5647940000, -73.5715150000
59, 45.7278281677, 45.5289502779, -73.5051389059, -73.6118382937
60, 45.5146130000, 45.5054710000, -73.6842630000, -73.7111500000
61, 45.3894044000, 45.3832619000, -73.5420475000, -73.5576016000
62, 45.5232750000, 45.5052160000, -73.5574380000, -73.5848020000
63, 45.5558360000, 45.5150910000, -73.5441160000, -73.6018560000
64, 45.4364540000, 45.4312570000, -73.6150890000, -73.6213910000
65, 45.5332195000, 45.5115099800, -73.6014138000, -73.6159054100
66, 45.5297318000, 45.5156536000, -73.6216799000, -73.6431124000
67, 45.5355750000, 45.5081430000, -73.6499100000, -73.6655420000
68, 45.4836590000, 45.4329550000, -73.6303360000, -73.7003900000
69, 45.5378310000, 45.5111630000, -73.5724520000, -73.6294110000
70, 45.4975410000, 45.4704240000, -73.6244740000, -73.7133470000
71, 45.5197815026, 45.5041761757, -73.6755206556, -73.6956720354
72, 45.5547880000, 45.4950480000, -73.5643500000, -73.5943290000
73, 45.5183350000, 45.5137940000, -73.5826260000, -73.5954460000
74, 45.5575190000, 45.5169780000, -73.5669880000, -73.6459250000
75, 45.5587290000, 45.5561660000, -73.6462210000, -73.6515260000
76, 45.4753169000, 45.4614839019, -73.5864809661, -73.5938341000
77, 45.6523810000, 45.5773130000, -73.4211010000, -73.5797490000
78, 45.5252530000, 45.4786370000, -73.5672400000, -73.5848530000
79, 45.6523200000, 45.6364500000, -73.5009040000, -73.5795790000
80, 45.5217874200, 45.5050908300, -73.5689418400, -73.5984289000
81, 45.4427070000, 45.4348260000, -73.6908850000, -73.7210870000
